app_name,user_id,user_name,date,country,version,score,url,review_id,revLen,sentimentScore,time_diff,category,alertme_rank,alertme_rank_normalized,rank_manual
Facebook,24657511,MacDaddy1106,42877,United States,93,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=24657511,56960,230,-1,4,isBugReport,4.2,4.2,3
Facebook,397982210,Tamtertravers,42858,South Africa,90,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=397982210,51450,158,-1,6,isBugReport,3.9448876,4.159789336,3
Instagram,491345214,Joey The Trainer,42856,United Kingdom,10.19,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=491345214,44594,88,0,0,isBugReport,3.946700508,3.915115623,3
Facebook,118426608,Mr.Hell..,42859,Australia,90,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=118426608,39498,260,-1,7,isFeatureShortcoming/isFeatureRequest,3.625,3.607142857,1
Instagram,555140056,Update doesn't help!!,42912,Canada,10.26,2,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=555140056,1231,186,-1,7,isBugReport,3.569162437,3.607142857,3
Pinterest,302364916,Spiritofthewest?,42901,United Kingdom,6.27,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=302364916,44825,364,-1,10,isFeatureShortcoming/isFeatureRequest,3.590909091,3.590909091,1
Whatsapp,192024301,Theeslyone,42858,South Africa,2.17.21,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=192024301,51746,124,0,3,isBugReport,3.379441624,3.575675537,3
Facebook,177548749,Sgt. Grant,42877,United Kingdom,93,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=177548749,42324,78,-1,4,isBugReport,3.595939086,3.567943393,3
Instagram,277540298,Mr.see no evil ??,42863,United States,10.19,2,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=277540298,16845,188,-1,7,isBugReport,3.579314721,3.54075655,3
Calorie Counter MyFitnessPal,332128827,Liliutorres,42886,Australia,7.15,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=332128827,40761,195,0,16,isBugReport,3.548671245,3.490275575,3
