id,app_name,user_id,user_name,date,country,version,score,topic,review_text,url,review_id,annotator_id,isAnnotated,annotatingTime,sentimentScore,NotEnglish,isFeatureShortcoming,isFeatureStrength,isFeatureRequest,isBugReport,isUsageScenario,isGeneralPraise,isGeneralComplaint,isNoise,isOther,otherText,isNotSureOfLabels,comment,gender
1,Facebook,168083869,Enamul,2017-06-09 00:00:00,Singapore,96,5,Nice,It's helpful for all communication,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=168083869,48069,1,1,2017-08-04 13:59:34,1,0,0,0,0,0,0,1,0,0,0,NULL,0,NULL,male
2,Instagra,520242463,buggy.is.a.cutie,2017-06-06 00:00:00,United States,10.24,3,Chronological Order,PLEASE GO BACK TO CHRONOLOGICAL ORDER ON THE TIMELINE!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=520242463,10140,1,1,2017-08-04 13:59:46,0,0,1,0,1,0,0,0,0,0,0,NULL,0,NULL,unclear
3,Waze,198762516,1bulldog1,2017-05-15 00:00:00,Australia,4.23.1,5,Great time saver,Highly recommend,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=198762516,41182,1,1,2017-08-04 13:59:58,2,0,0,0,0,0,0,1,0,0,0,NULL,0,NULL,unclear
4,Instagra,464345410,ingrid_27,2017-05-19 00:00:00,South Africa,10.21,5,Instagram App of the best I've used,"Works every time, all the time. Easy to use, perfect design. One of the apps I use most!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=464345410,51537,1,1,2017-08-04 14:00:07,2,0,0,1,0,0,0,0,0,0,0,NULL,0,NULL,female
5,Facebook,226281232,User from SG,2017-06-08 00:00:00,Singapore,95,1,No response for multiple photo upload,"After many times I have tried, there still having the same problem, after multiple photo has been selected the app totally has no response..",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=226281232,48072,1,1,2017-08-04 14:00:19,0,0,0,0,0,1,0,0,0,0,0,NULL,0,NULL,unclear
6,Waze,555497905,Frankbot69,2017-06-26 00:00:00,United Kingdom,4.25,5,Fantastic - beats all other sat navs I have used,"Great, I use it daily and find it great for planning the commute or longer business / leisure trips.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=555497905,46451,1,1,2017-08-04 14:00:34,2,0,0,0,0,0,0,1,0,0,0,NULL,0,NULL,male
7,Instagra,101403931,NotedChef,2017-05-08 00:00:00,Australia,10.19,4,#feedalgorithmsucks,"Love the filters, hate the non-chronological feed!!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=101403931,40367,1,1,2017-08-04 14:00:46,0,0,1,1,0,0,0,0,0,0,0,NULL,0,NULL,unclear
8,Instagra,555739185,Vince xander,2017-05-16 00:00:00,Canada,10.21,1,It's not working,Every time I open the app it says couldn't refresh feed or some thing went wrong and I am connected to wifi so idk what is wrong,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=555739185,2322,1,1,2017-08-04 14:01:07,0,0,0,0,0,1,0,0,0,0,0,NULL,0,NULL,male
9,Facebook,41184327,chubby_duck,2017-05-26 00:00:00,United Kingdom,94,1,WTF!!!!,"You can't even call this an app, it's the biggest load of sh*te ever and a waste of storage on my phone!!!  Why do we need messenger and Facebook, put them back together please!!!  The latest update is pathetic, it's showing me notifications but when I click on them it shows me nothing, sort of out FB ffs, a big company with a SHAMEFUL app!!! Not good enough!!!
If I could give zero stars I would!!!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=41184327,42237,1,1,2017-08-04 14:01:33,-2,0,1,0,0,0,0,0,0,0,0,NULL,0,NULL,unclear
10,Facebook,126849549,loulabelle888,2017-05-29 00:00:00,United Kingdom,94,1,Newsfeed,Showing posts from weeks ago and can't get it to show the most recent posts!,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=126849549,42131,1,1,2017-08-04 14:01:41,0,0,1,0,0,0,0,0,0,0,0,NULL,0,NULL,female
11,Whatsapp,474236809,Chandu25797,2017-05-15 00:00:00,India,2.17.22,5,@chandana,Disgusting,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=474236809,51078,1,1,2017-08-04 14:01:59,-2,0,0,0,0,0,0,0,1,0,0,NULL,0,NULL,male
12,Facebook,20414651,Blue Cobra,2017-05-27 00:00:00,Canada,93,1,Timeline is messed,My news feed shows only stuff from 4 days ago. I see maybe 1 new post to 20 from 4 days ago. Stop messing up a good app,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=20414651,794,1,1,2017-08-04 14:02:17,-1,0,1,0,0,0,0,0,0,0,0,NULL,0,NULL,unclear
13,Instagra,367693787,Sim**84,2017-05-29 00:00:00,South Africa,10.22,5,Pictures,You should be able to move your feed around,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=367693787,51519,1,1,2017-08-04 14:02:34,0,0,0,0,1,0,0,0,0,0,0,NULL,0,NULL,unisex
