,app_name,user_id,user_name,date,country,version,score,url,review_id,revLen,sentimentScore,time_diff,category,alertme_rank,alertme_rank_normalized,rank_manual,review,entropy,rank3
0,Facebook,24657511,MacDaddy1106,42877,United States,93,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=24657511,56960,230,-1,4,isBugReport,4.2,4.2,3,"fix the crashes! around half the time the app reloads, it crashes and locks up my whole phone. this has been going on for several updates and has not gotten any better
also, the timeline is showing stuff days old with this update",4.146512609517046,3.0
1,Facebook,397982210,Tamtertravers,42858,South Africa,90,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=397982210,51450,158,-1,6,isBugReport,3.9448876,4.159789336,3,"every time i go into news feed it facebook kicks me out , i've downloaded it over 3 times , way too much data and way too many issues ????? please sort it out",4.098098873565945,3.0
2,Instagram,491345214,Joey The Trainer,42856,United Kingdom,10.19,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=491345214,44594,88,0,0,isBugReport,3.946700508,3.915115623,3,this update has stopped the stories from working. i can't upload anything! please fix!,4.234109443530636,3.0
3,Facebook,118426608,Mr.Hell..,42859,Australia,90,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=118426608,39498,260,-1,7,isFeatureShortcoming/isFeatureRequest,3.625,3.607142857,1,"updated my facebook app and i wish i didn't, it runs slow and the new layout is just horrible, why change it from it was.. please give people an option on what they want.. go back to where you could see was online and not having to go into messager for check..",4.2054995396570085,1.5
4,Instagram,555140056,Update doesn't help!!,42912,Canada,10.26,2,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=555140056,1231,186,-1,7,isBugReport,3.569162437,3.607142857,3,my instagram keeps shutting down by itself. i have re downloaded multiple times to use it today. it is so annoying because once it exits out i can't use it again unless i re download it.,4.054874780083163,3.0
5,Pinterest,302364916,Spiritofthewest?,42901,United Kingdom,6.27,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=302364916,44825,364,-1,10,isFeatureShortcoming/isFeatureRequest,3.590909091,3.590909091,1,"i've had a pinterest account for over 2 years and the app has gotten worse rather than better in almost every update. the merging of the news and activity was by far the worst thing to happen, the inability to change anything about the order of your boards (even on ipad) and now the likes have been scrapped and saved to a board instead ? no thanks. fix your app.",4.136995816737728,1.5
6,Whatsapp,192024301,Theeslyone,42858,South Africa,2.17.21,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=192024301,51746,124,0,3,isBugReport,3.379441624,3.575675537,3,"have just updates my whatsapp but i can't send messages nor receive any as it's busy ""connecting"", but nothing happens.",4.171203864853225,3.0
7,Facebook,177548749,Sgt. Grant,42877,United Kingdom,93,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=177548749,42324,78,-1,4,isBugReport,3.595939086,3.567943393,3,"freezes on a blank page on opening, buggy rubbish, what kind of qa do they do?",4.169928027477174,3.0
8,Instagram,277540298,Mr.see no evil ??,42863,United States,10.19,2,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=277540298,16845,188,-1,7,isBugReport,3.579314721,3.54075655,3,i'm tired of the bs. instagram always logs me out of my account and my girlfriends account. it's annoying. i'm tired of always having to log back in when i close then open the app back up.,4.224203173672636,3.0
9,Calorie Counter MyFitnessPal,332128827,Liliutorres,42886,Australia,7.15,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=332128827,40761,195,0,16,isBugReport,3.548671245,3.490275575,3,"i tried to create my account, but it doesn't work. i couldn't sign it with my facebook account or my email. the app said it already have my email, so it can't create my account. it is impossible!",4.154939106241275,3.0
10,Instagram,448641046,KrisAlexCard,42909,Canada,10.26,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=448641046,1315,52,-1,4,isBugReport,3.463959391,3.46738304,3,i can't log in to the app but i can on safari. wth,3.783981820580904,3.0
11,Facebook,154144915,2000cp,42882,Australia,94,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=154144915,39218,134,-1,2,isFeatureShortcoming/isFeatureRequest,3.513536379,3.431563642,2,bring back the like button for comments. trying to click on the text bubble without being directed to a profile is extremely annoying.,4.120537121427316,1.5
12,Instagram,448566159,Joliahcc,42885,Hong Kong,10.23,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=448566159,47675,76,-1,0,isFeatureShortcoming/isFeatureRequest,3.885786802,3.352724123,3,extremely lag when i scrolling instagram and totally garbage in every update,4.027441037006114,1.5
13,Instagram,352269981,Regannking,42914,United States,10.27,2,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=352269981,4990,338,-1,2,isFeatureShortcoming/isFeatureRequest,3.333333333,3.333333333,1,"instagram is basically an off brand version of snapchat with the stories. stories have also made the app slower, and more difficult to use if you are not wifi connected. also the most recent photos are not the ones that come up on your feed. posts from four hours are the ones that come up and you might not even see the most recent pics.",4.02043274177894,1.5
14,Facebook,190483319,Bunnyling,42892,Singapore,95,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=190483319,48080,168,0,4,isBugReport,3.552791878,3.331160591,2,"pls fix the error. unable to upload multiple photos into the album. uploading single photo works fine.
but when selected to upload multiple photos, it just hangs there.",4.174850209102083,3.0
15,Facebook,520662805,Bunny_roy,42887,India,94,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=520662805,48935,212,0,7,isBugReport,3.625,3.325,3,"i was using fb before couple of days in my device but mistakenly i deleted, now i am trying to installing again but failed.
after 20/25% of downloading
""facebook""
could not be downloaded at this time
please help",4.382609386763141,3.0
16,Whatsapp,157521840,Mr subby,42892,United Kingdom,2.17.30,1,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=157521840,46010,67,0,1,isBugReport,3.340101523,3.31605394,3,"contact list gone???????
not an update
keeps freezing since update",4.012622052263337,3.0
17,Facebook,163018104,Dontliketimeline,42889,Canada,95,3,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=163018104,669,226,-1,1,isFeatureShortcoming/isFeatureRequest,3.333333333,3.261904762,1,"i used to love it but since timeline i don't even want to go on it, if something is not broke don't fix it. i am ready to shut it down. pretty hard to send your review when you can't send it, because you can't get a nickname.",4.069270588690962,1.5
