id,CATEGORY,SENTIMENT,SCORE,REVLEN
140000,0.41,0.19,0.0,0.4
140001,0.41,0.19,0.01,0.39
140002,0.41,0.19,0.02,0.38
140003,0.41,0.19,0.03,0.37
140004,0.41,0.19,0.04,0.36
140005,0.41,0.19,0.05,0.35
140006,0.41,0.19,0.06,0.34
140007,0.41,0.19,0.07,0.33
140008,0.41,0.19,0.08,0.32
140009,0.41,0.19,0.09,0.31
140010,0.41,0.19,0.1,0.3
140011,0.41,0.19,0.11,0.29
140012,0.41,0.19,0.12,0.28
140013,0.41,0.19,0.13,0.27
140014,0.41,0.19,0.14,0.26
140015,0.41,0.19,0.15,0.25
140016,0.41,0.19,0.16,0.24
140017,0.41,0.19,0.17,0.23
140018,0.41,0.19,0.18,0.22
140019,0.41,0.19,0.19,0.21
140020,0.41,0.19,0.2,0.2
140021,0.41,0.19,0.21,0.19
140022,0.41,0.19,0.22,0.18
140023,0.41,0.19,0.23,0.17
140024,0.41,0.19,0.24,0.16
140025,0.41,0.19,0.25,0.15
140026,0.41,0.19,0.26,0.14
140027,0.41,0.19,0.27,0.13
140028,0.41,0.19,0.28,0.12
140029,0.41,0.19,0.29,0.11
140030,0.41,0.19,0.3,0.1
140031,0.41,0.19,0.31,0.09
140032,0.41,0.19,0.32,0.08
140033,0.41,0.19,0.33,0.07
140034,0.41,0.19,0.34,0.06
140035,0.41,0.19,0.35,0.05
140036,0.41,0.19,0.36,0.04
140037,0.41,0.19,0.37,0.03
140038,0.41,0.19,0.38,0.02
140039,0.41,0.19,0.39,0.01
140040,0.41,0.19,0.4,0.0
140041,0.41,0.2,0.0,0.39
140042,0.41,0.2,0.01,0.38
140043,0.41,0.2,0.02,0.37
140044,0.41,0.2,0.03,0.36
140045,0.41,0.2,0.04,0.35
140046,0.41,0.2,0.05,0.34
140047,0.41,0.2,0.06,0.33
140048,0.41,0.2,0.07,0.32
140049,0.41,0.2,0.08,0.31
140050,0.41,0.2,0.09,0.3
140051,0.41,0.2,0.1,0.29
140052,0.41,0.2,0.11,0.28
140053,0.41,0.2,0.12,0.27
140054,0.41,0.2,0.13,0.26
140055,0.41,0.2,0.14,0.25
140056,0.41,0.2,0.15,0.24
140057,0.41,0.2,0.16,0.23
140058,0.41,0.2,0.17,0.22
140059,0.41,0.2,0.18,0.21
140060,0.41,0.2,0.19,0.2
140061,0.41,0.2,0.2,0.19
140062,0.41,0.2,0.21,0.18
140063,0.41,0.2,0.22,0.17
140064,0.41,0.2,0.23,0.16
140065,0.41,0.2,0.24,0.15
140066,0.41,0.2,0.25,0.14
140067,0.41,0.2,0.26,0.13
140068,0.41,0.2,0.27,0.12
140069,0.41,0.2,0.28,0.11
140070,0.41,0.2,0.29,0.1
140071,0.41,0.2,0.3,0.09
140072,0.41,0.2,0.31,0.08
140073,0.41,0.2,0.32,0.07
140074,0.41,0.2,0.33,0.06
140075,0.41,0.2,0.34,0.05
140076,0.41,0.2,0.35,0.04
140077,0.41,0.2,0.36,0.03
140078,0.41,0.2,0.37,0.02
140079,0.41,0.2,0.38,0.01
