id,CATEGORY,SENTIMENT,SCORE,ENTROPY
160000,0.55,0.1,0.3,0.05
160001,0.55,0.1,0.31,0.04
160002,0.55,0.1,0.32,0.03
160003,0.55,0.1,0.33,0.02
160004,0.55,0.1,0.34,0.01
160005,0.55,0.1,0.35,0.0
160006,0.55,0.11,0.0,0.34
160007,0.55,0.11,0.01,0.33
160008,0.55,0.11,0.02,0.32
160009,0.55,0.11,0.03,0.31
160010,0.55,0.11,0.04,0.3
160011,0.55,0.11,0.05,0.29
160012,0.55,0.11,0.06,0.28
160013,0.55,0.11,0.07,0.27
160014,0.55,0.11,0.08,0.26
160015,0.55,0.11,0.09,0.25
160016,0.55,0.11,0.1,0.24
160017,0.55,0.11,0.11,0.23
160018,0.55,0.11,0.12,0.22
160019,0.55,0.11,0.13,0.21
160020,0.55,0.11,0.14,0.2
160021,0.55,0.11,0.15,0.19
160022,0.55,0.11,0.16,0.18
160023,0.55,0.11,0.17,0.17
160024,0.55,0.11,0.18,0.16
160025,0.55,0.11,0.19,0.15
160026,0.55,0.11,0.2,0.14
160027,0.55,0.11,0.21,0.13
160028,0.55,0.11,0.22,0.12
160029,0.55,0.11,0.23,0.11
160030,0.55,0.11,0.24,0.1
160031,0.55,0.11,0.25,0.09
160032,0.55,0.11,0.26,0.08
160033,0.55,0.11,0.27,0.07
160034,0.55,0.11,0.28,0.06
160035,0.55,0.11,0.29,0.05
160036,0.55,0.11,0.3,0.04
160037,0.55,0.11,0.31,0.03
160038,0.55,0.11,0.32,0.02
160039,0.55,0.11,0.33,0.01
160040,0.55,0.11,0.34,0.0
160041,0.55,0.12,0.0,0.33
160042,0.55,0.12,0.01,0.32
160043,0.55,0.12,0.02,0.31
160044,0.55,0.12,0.03,0.3
160045,0.55,0.12,0.04,0.29
160046,0.55,0.12,0.05,0.28
160047,0.55,0.12,0.06,0.27
160048,0.55,0.12,0.07,0.26
160049,0.55,0.12,0.08,0.25
160050,0.55,0.12,0.09,0.24
160051,0.55,0.12,0.1,0.23
160052,0.55,0.12,0.11,0.22
160053,0.55,0.12,0.12,0.21
160054,0.55,0.12,0.13,0.2
160055,0.55,0.12,0.14,0.19
160056,0.55,0.12,0.15,0.18
160057,0.55,0.12,0.16,0.17
160058,0.55,0.12,0.17,0.16
160059,0.55,0.12,0.18,0.15
160060,0.55,0.12,0.19,0.14
160061,0.55,0.12,0.2,0.13
160062,0.55,0.12,0.21,0.12
160063,0.55,0.12,0.22,0.11
160064,0.55,0.12,0.23,0.1
160065,0.55,0.12,0.24,0.09
160066,0.55,0.12,0.25,0.08
160067,0.55,0.12,0.26,0.07
160068,0.55,0.12,0.27,0.06
160069,0.55,0.12,0.28,0.05
160070,0.55,0.12,0.29,0.04
160071,0.55,0.12,0.3,0.03
160072,0.55,0.12,0.31,0.02
160073,0.55,0.12,0.32,0.01
160074,0.55,0.12,0.33,0.0
160075,0.55,0.13,0.0,0.32
160076,0.55,0.13,0.01,0.31
160077,0.55,0.13,0.02,0.3
160078,0.55,0.13,0.03,0.29
160079,0.55,0.13,0.04,0.28
160080,0.55,0.13,0.05,0.27
160081,0.55,0.13,0.06,0.26
160082,0.55,0.13,0.07,0.25
160083,0.55,0.13,0.08,0.24
160084,0.55,0.13,0.09,0.23
160085,0.55,0.13,0.1,0.22
160086,0.55,0.13,0.11,0.21
160087,0.55,0.13,0.12,0.2
160088,0.55,0.13,0.13,0.19
160089,0.55,0.13,0.14,0.18
160090,0.55,0.13,0.15,0.17
160091,0.55,0.13,0.16,0.16
160092,0.55,0.13,0.17,0.15
160093,0.55,0.13,0.18,0.14
160094,0.55,0.13,0.19,0.13
160095,0.55,0.13,0.2,0.12
160096,0.55,0.13,0.21,0.11
160097,0.55,0.13,0.22,0.1
160098,0.55,0.13,0.23,0.09
160099,0.55,0.13,0.24,0.08
160100,0.55,0.13,0.25,0.07
160101,0.55,0.13,0.26,0.06
160102,0.55,0.13,0.27,0.05
160103,0.55,0.13,0.28,0.04
160104,0.55,0.13,0.29,0.03
160105,0.55,0.13,0.3,0.02
160106,0.55,0.13,0.31,0.01
160107,0.55,0.13,0.32,0.0
160108,0.55,0.14,0.0,0.31
160109,0.55,0.14,0.01,0.3
160110,0.55,0.14,0.02,0.29
160111,0.55,0.14,0.03,0.28
160112,0.55,0.14,0.04,0.27
160113,0.55,0.14,0.05,0.26
160114,0.55,0.14,0.06,0.25
160115,0.55,0.14,0.07,0.24
160116,0.55,0.14,0.08,0.23
160117,0.55,0.14,0.09,0.22
160118,0.55,0.14,0.1,0.21
160119,0.55,0.14,0.11,0.2
160120,0.55,0.14,0.12,0.19
160121,0.55,0.14,0.13,0.18
160122,0.55,0.14,0.14,0.17
160123,0.55,0.14,0.15,0.16
160124,0.55,0.14,0.16,0.15
160125,0.55,0.14,0.17,0.14
160126,0.55,0.14,0.18,0.13
160127,0.55,0.14,0.19,0.12
160128,0.55,0.14,0.2,0.11
160129,0.55,0.14,0.21,0.1
160130,0.55,0.14,0.22,0.09
160131,0.55,0.14,0.23,0.08
160132,0.55,0.14,0.24,0.07
160133,0.55,0.14,0.25,0.06
160134,0.55,0.14,0.26,0.05
160135,0.55,0.14,0.27,0.04
