country,rank107733
United States,2.645960803256544
South Africa,2.628727821391486
United Kingdom,2.5871410999706264
Australia,2.261957338173908
Canada,2.5683421048280164
United Kingdom,2.2375732787419063
South Africa,2.5647497129962007
United Kingdom,2.654295575716102
United States,2.6286149401843684
Australia,2.558960234355628
Canada,2.5169171261155885
Australia,2.2317147678826474
Hong Kong,2.198577000201204
United States,2.15108238122206
Singapore,2.56604763770868
India,2.64
United Kingdom,2.508302148130527
Canada,2.1534663263696388
Australia,2.2315487793332487
South Africa,1.091869537004993
Hong Kong,2.5278027354989625
Hong Kong,2.20146497858618
United Kingdom,2.192423342582963
United States,2.1631252239863183
United Kingdom,2.486132038842387
Canada,2.22929952629271
Australia,2.4834688073623665
Australia,2.5509560552725654
Singapore,2.183138276241772
United Kingdom,2.067757027794147
United States,2.0195818677835096
India,2.470406976736686
India,2.628032473073942
United Kingdom,2.1529301153705656
Australia,2.152424604776484
Singapore,2.172725495046941
India,2.5274539152762343
South Africa,2.17587693044024
Australia,2.44742601232236
India,2.1926339475653016
South Africa,2.0981849068454115
Singapore,2.150330679201505
Hong Kong,2.467199469094873
Singapore,2.180699160314078
Hong Kong,2.569652205270225
United States,2.0524349245755973
United Kingdom,2.098317256101831
Australia,2.1420449376220683
United Kingdom,1.701693970629448
Hong Kong,2.0647889913540345
Singapore,2.45799085326981
South Africa,2.1361606270262112
India,2.4355196950004663
Singapore,2.4690329012619507
Singapore,2.4888896709093524
Australia,2.15925834416549
Hong Kong,2.547112153418308
South Africa,2.112880320364954
Australia,2.0125948282511565
Hong Kong,2.384806405515218
United States,2.034080053229369
Hong Kong,2.063541837600112
Australia,2.071364862739657
South Africa,2.045555048583225
Singapore,2.0673883844932432
Hong Kong,2.238681436382457
Singapore,2.1135406609934737
Hong Kong,2.4256402658754475
United States,1.6200709507711364
Canada,2.473834668711196
India,2.458329472257251
Australia,2.00600894182711
India,2.002054457837969
Singapore,2.132974024279409
Hong Kong,1.684090227997747
United Kingdom,2.0530758503553823
India,2.0559709189500017
Hong Kong,0.5518695370049929
United Kingdom,1.957105215154317
United Kingdom,1.6392778566893311
United States,1.6594165384168438
United Kingdom,1.5852236846520809
South Africa,1.6536557463234038
Hong Kong,0.8939284872312683
Singapore,2.0408147328897748
United Kingdom,1.6036349275207469
Australia,1.6141427366042602
Australia,1.604520853660864
United States,1.6411119670151857
India,1.633636271717213
Singapore,1.5390798258323906
Canada,1.9726325432362657
India,2.2896962579444686
Canada,1.946108691058405
India,2.321119792616297
Hong Kong,0.3814399742464694
United States,1.0208831826345932
Canada,1.6135669920573077
South Africa,1.6102948843439917
South Africa,0.5518695370049929
India,1.6194921497295305
United States,1.7281034210749502
United States,1.6137683417229
Hong Kong,1.1083720717961647
South Africa,1.6242690339664545
Hong Kong,1.3578218618258382
Canada,1.603907484719841
Canada,1.5866297460385708
Hong Kong,1.3824249615869657
United States,1.4692568175559493
Hong Kong,1.8043430315918745
Singapore,1.6345396190753378
India,1.57895224067097
South Africa,1.5425235112531568
Singapore,0.7171710868855565
United States,1.621051120406634
Australia,1.6535983670676413
Australia,1.5611277289918108
United States,1.5813934986953226
India,1.5408299362384483
Australia,0.4798695370049929
South Africa,1.5038256588946373
Australia,1.564600337917638
Canada,1.5672334605825218
Canada,1.6080526142029017
Canada,1.6680036914623604
South Africa,1.472458568750469
Canada,1.5713771149938438
United Kingdom,1.5697471437089996
Canada,1.566642496045039
United States,1.5503076188331395
United Kingdom,1.5642117684082055
Canada,1.5505056834441486
Singapore,1.5940762323923576
Singapore,1.5742876599007238
Canada,1.4897337556783
India,1.366832783220851
India,1.3744943861733931
United States,1.4293690051857104
United States,1.4781775776968218
South Africa,1.2555995741168249
United Kingdom,1.2549555181869247
Australia,1.462348981687236
Canada,1.2510995741168247
South Africa,1.417730675530512
Singapore,1.2852248966626114
United Kingdom,1.4598453527865891
South Africa,1.2856423673573467
United States,1.0428808120521138
India,1.131868893257325
India,1.4665055532972675
South Africa,0.4798695370049929
Canada,1.073123411706402
South Africa,1.3375450986845232
Hong Kong,0.6869284872312682
United Kingdom,1.2022416571442585
Canada,1.3058944321528645
India,0.4798695370049929
Singapore,0.864904649641691
Singapore,1.2142934650460746
